id,name,intelligence,strength,speed,durability,power,combat,full-name,alter-egos,aliases,place-of-birth,first-appearance,publisher,alignment,gender,race,height,weight,eye-color,hair-color,occupation,base,group-affiliation,relatives,url
1168,Kale,85.0,100.0,100.0,100.0,100.0,100.0,Kale,['Kale (Manga)'],[''],Universe 6,"Dragon Ball Super: Volume 6, Chapter 32 (January 20, 2018)",Shueisha,Neutral,Female,Saiyan,-,-,Black,Black,Member of the Saiyan Punks,Universe 6,,Caulifla (fusee),
1169,Kanto,90.0,60.0,65.0,90.0,100.0,100.0,Illuthin,[],[''],Apokolips,,DC Comics,Bad,Male,New God,-,-,,,,,,,
1170,Kapau,85.0,10.0,15.0,10.0,25.0,45.0,Kapau,"[""Kapau'rai""]",['/'],Ninjago,Only One Can Remain /70755 Jungle Raider,,Bad,Male,Human,5'8 • 173 cm,99 lb • 45 kg,Red,No Hair,Anacondrai Cultist,Master chen his base,,,
1171,Kapau'rai,85.0,40.0,70.0,80.0,100.0,85.0,Kapau,['Kapau'],['Kapau'],Ninjago,The Greatest Fear of All,,Bad,Male,Animal,5'10 • 178 cm,132 lb • 59 kg,Red,No Hair,Anacondrai Cultist,Master chen his base,,,
1172,Karlof,90.0,30.0,35.0,50.0,100.0,70.0,Karlof,[],['Master of metal'],Metalonia,The Invitation /70756 Dojo Showdown,,Good,Male,Human,6'2 • 188 cm,220 lb • 99 kg,Black,Black,engineer,Dojo,,none,
1173,Karnak (MCU),95.0,15.0,45.0,55.0,55.0,100.0,Karnak Mander-Azur,['Karnak'],['Karnak'],Attilan,Inhumans Season 1: Episode 1,Marvel Comics,Good,Male,Inhuman,"5'7"" • 170 cm",143 lb • 64 kg,Black,Black,,Earth; formerly Attilan,,Triton (brother),
1174,Karnak,90.0,30.0,65.0,50.0,40.0,90.0,,['Karnak (MCU)'],"['The Shatterer, Magister Karnak']","Attilan City, North Atlantic",Fantastic Four #45,Marvel Comics,,Male,Inhuman,5'7 • 170 cm,150 lb • 68 kg,Blue,Black,"Magister of the Second Tower of Wisdom, priest/philosopher, adventurer","Tower of Wisdom; formerly Attilan, Blue Area, the Moon",,"Mander, Azur (parents, deceased);
Leer (son);
Triton (brother, deceased);
Magnar, Zeta (paternal grandparents);
Kobar, La (maternal grandparents);
Rynda (paternal aunt, deceased);
Ambur (maternal aunt);
Agon (paternal uncle by marriage, deceased);
Quelin (maternal uncle by marriage);
Black Bolt, Maximus, Crystal, Medusa (cousins);
Lineage (Gordon Nobili) (distant relative)",
1175,Katana (CW),70.0,10.0,45.0,35.0,40.0,100.0,Tatsu Yamashiro,[],['Katana'],Earth-1,Arrow Season 3: Episode 1,,Good,Female,Human,"5'7"" • 170 cm",117 lb • 53 kg,Brown,Brown,,,,"Maseo Yamashiro (husband, deceased), Akio Yamashiro (son, deceased)",
1176,Katana (DCEU),70.0,10.0,50.0,40.0,55.0,100.0,Tatsu Yamashiro,['Katana'],"['Katana, Sword Lady, Ninja']","Tokyo, Japan",Suicide Squad,DC Comics,Good,Female,Human,5'5 • 165 cm,110 lb • 50 kg,Black,Black,Vigilante,,,"Maseo Yamashiro (husband, deceased), Yuki Yamashiro (daughter, deceased), Reiko Yamashiro (daughter, deceased)",
1177,Katana,80.0,10.0,50.0,40.0,60.0,95.0,,['Katana (DCEU)'],"['Bladerunner,The Queen of Blades,sword lady,ninja']",japan,DC Sampler #1,DC Comics,Good,Female,Human,5'2 • 157 cm,97 lb • 44 kg,Brown,Black,Vigilante,"Gotham City,Detroit, San Francisco,Japan",,"Maseo Yamashiro (husband, deceased)",
1178,Kefla,85.0,100.0,100.0,100.0,100.0,100.0,Kale/Caulifla,[],['Caulikale'],Universe 6,"Dragon Ball Super: Chapter 38 (July 21, 2018)",Shueisha,Neutral,Female,Saiyan,-,-,Black,Black,Potara Fusion,Universe 6,,"Caulifla (fusee), Kale (fusee), Renso (half-brother)",
1179,Kelex,100.0,0.0,30.0,20.0,50.0,25.0,,[],[''],,The Man of Steel #1,DC Comics,Neutral,,Android,-,-,,,Kryptonian Service Robot,Fortress of Solitude,,Seyg-El,
1180,Kenshiro,85.0,90.0,65.0,65.0,100.0,100.0,Kenshiro,[],"[""The Man With The Seven Wounds, The Savior Of The Century's End, Ken""]","Taiseiden, Shura",Volume 1: A Cry from the Heart (心の叫び の巻 Kokoro no Sakebi no Maki),Shueisha,Good,Male,Human,6'1 • 185 cm,220 lb • 99 kg,Brown,Brown / Black,64th Successor of Hokuto Shin Ken,,,"Hyō (older brother)
Raoh (adoptive older brother)
Toki (adoptive older brother)
Jagi (adoptive older brother)
Yuria (fiancée)
Ryuken (adoptive father/sifu)
Ryu (adoptive nephew)
Kenshiro Kasumi (uncle)",
1181,KGBeast,70.0,20.0,30.0,50.0,65.0,95.0,,[],[''],Russia,Batman #417 - Ten Nights of the Beast Part I,DC Comics,Bad,Male,Cyborg,6'3 • 191 cm,280 lb • 126 kg,Brown,Blond,Mercenary,,,,
1182,Khanjikhan,100.0,100.0,65.0,100.0,100.0,75.0,Khanjikhan,[],['King Khanjikhan'],Djinnjago,Enkrypted,,Neutral,,,6'6 • 198 cm,11 lb • 5 kg,Black,Grey,Djinn king,Djinnjago,,"Unnamed (father; deceased)
Nadakhan (son)",
1183,Kid Colt,90.0,10.0,20.0,15.0,15.0,65.0,,[],[''],,,Marvel Comics,Neutral,,,-,-,,,,,,,
1184,Kid Flash (CW),70.0,40.0,90.0,65.0,90.0,70.0,,"['Flash (New 52)', 'Flash III', 'Kid Flash (Young Justice)']",[''],,The flash season 1,DC Comics,Good,Male,Metahuman,5'2 • 157 cm,154 lb • 69 kg,Black,Black,Student Vigilante (in secret) Member of the Legends (in secret; formerly) Member of Team Flash (in secret; formerly) Drag racer (formerly),,,,
1185,Kilgrave (MCU),80.0,10.0,15.0,20.0,80.0,40.0,Kevin Thompson,[],['Kilgrave'],,Jessica Jones Season 1: Episode 1,Marvel Comics,Bad,Male,Human,"6'1"" • 185 cm",161 lb • 72 kg,Brown,Brown,Criminal,New York City,,"Albert Thompson (father, deceased), Louise Thompson (mother, deceased)",
1186,Killer Bee,75.0,95.0,70.0,95.0,100.0,100.0,,[],"['Bee, B, Kirabi, Hachibi Jinchuuriki, The Perfect Host']",Kumogakure,Naruto Chapter #408,Shueisha,Good,Male,Human,6'3 • 191 cm,192 lb • 86 kg,,White,"Guardian of Kumogakure, Jinchūriki",Kumogakure,,"A (Adoptive Father). A (Adoptive Brother), Blue B (Adoptive Cousin)",
1187,Killer Croc (DCEU),90.0,60.0,40.0,85.0,75.0,75.0,,"['Killer Croc', 'Killer Croc (Arkham)']",['King of the sewer'],,Suicide Squad,DC Comics,Bad,Male,Metahuman,6'2 • 188 cm,265 lb • 119 kg,Brown,No Hair,,,,,
1188,Killer Frost (CW),70.0,15.0,65.0,35.0,30.0,55.0,,['Killer Frost'],['Killer Frost'],,Flash episode 1,DC Comics,Bad,,Metahuman,-,-,Blue,White,"Scientists, Vigilante (in sectret) criminal (formerly)",,,Ronnie raymon (deceased husband),
1189,Killian (MCU),100.0,50.0,60.0,70.0,80.0,90.0,Aldrich Killian,['Killian'],['Mandarin'],,Iron Man 3,Marvel Comics,Bad,Male,Metahuman,5'10 • 178 cm,176 lb • 79 kg,Blue,Blond,"Businessman, Conspirator, Terrorist",Miami,,,
1190,Killmonger (MCU),85.0,60.0,60.0,80.0,80.0,95.0,"N'Jadaka (birth Name), Erik Stevens (legal Name)",[],['Killmonger'],"Oakland, California",Black Panther (2018),Marvel Comics,Bad,Male,Human,"6'0"" • 183 cm",185 lb • 83 kg,Brown,Black,former King of Wakanda,Wakanda,,"Azzuri (grandfather, deceased), N'Jobu (father, deceased)",
1191,Killow,85.0,25.0,40.0,50.0,65.0,35.0,Killow,['Killow(Oni Mask Of Deception)'],['none'],Ninjago,Snake Jaguar /70642 Killow vs. Samurai X,,Bad,Male,Human,6'2 • 188 cm,331 lb • 149 kg,Black,No Hair,Painter,Mobile,,,
1192,King Shark (CW),80.0,85.0,70.0,95.0,100.0,75.0,Shay Lamden,[],"['King Shark, Man-Shark']",Earth-2,The Flash Season 2: Episode 4,,Good,Male,Metahuman,10'0 • 305 cm,600 lb • 270 kg,Black,No Hair,"former Criminal, Marine Biologist",Earth-1,,,
1193,King Thanos,100.0,100.0,80.0,100.0,100.0,95.0,,"['Astral Regulator Thanos', 'Cosmic Regulator Thanos', 'Poison Thanos', 'Thanos', 'Thanos (Cancerverse)', 'Thanos (Cosmic Cube)', 'Thanos (God Quarry)', 'Thanos (Heart Of The Universe)', 'Thanos (IG MCOC)', 'Thanos (Infinity Gauntlet MCU)', 'Thanos (Infinity Gauntlet)', 'Thanos (MCU)', 'Thanos (Post-Infinity Siblings)', 'Thanos (Regulator)', 'Zombie Thanos']","['All-Father, Chins, Dione (name chosen for him before his birth), Mad Titan, Master, Masterlord, Overmaster, Thanos Rex, The Outcast']",Titan,"First Appearance	Last Appearance Thanos Vol 2 #13 (January, 2018) Thanos Vol 2 #18 (June, 2018) (Ceased to exist)",Marvel Comics,Bad,Male,Titanian,6'7'' • 201 cm,985 lb • 443 kg,Silver,Grey,"Conqueror, worshiper of Death; former pirate, nihilist, god, knowledge-seeker, King of Titan","Chitauri Prime; formerly Titan; Sanctuary II; Necropolis, Wakanda, Earth; Black Quadrant",,"A'Lars (father, deceased);
Sui-San (mother, deceased);
Eros (brother);
Uranos (great-uncle);
Kronos (paternal grandfather, deceased);
Daina (paternal grandmother, deceased);
Zuras (uncle, deceased);
Thena (cousin);
Sersi (cousin);
Gamora (foster daughter);
Nebula (alleged granddaughter);
Zorr (alleged son or son-in-law);
Rot (""child"" by Death);
Thane (son);
Several children (deceased);
Thanosi (hybrid clones)",
1194,Kingpin (MCU),80.0,20.0,50.0,65.0,20.0,60.0,,['Kingpin'],"['The King, The King of Diamonds, King Kong, Willie, Fatty, Little Bastard, Baldy, The Devil, The Second Coming, The Ill Intent, Fatboy, Inmate 55467, The Boogeyman of Crime, The Man who Cast a Shadow in the Dark, Fat Man, Fat Dude, Snitch, Convict, Shitbag']",New York City,"Daredevil, Season 1, Episode 3",Marvel Comics,Neutral,Male,Human,-,-,,No Hair,Mob Boss,Hell's Kitchen,,,
1195,Kisame,85.0,95.0,75.0,95.0,100.0,100.0,,[],"['Monster of the Hidden Mist, Scourge of the Hidden Mist, Tailless Tailed Beast']",,"Volume #16, Naruto Chapter #139",Shueisha,Bad,Male,Human,6'4 • 193 cm,183 lb • 82 kg,White,Grey,"Member of the Akatsuki, Member of the Seven, Swordsmen of the Mist",Kirigakure,,,
1196,Klaw (MCU),85.0,15.0,40.0,40.0,35.0,70.0,,[],"['The Dealer', 'Ungumbuali', 'Arms Dealer Strapped to a Chair']",Wakanda,Avengers Age Of Ultron,Marvel Comics,Bad,Male,Human,5'5 • 165 cm,154 lb • 69 kg,Blue,Grey,,,,,
1197,Knockout,90.0,80.0,60.0,100.0,100.0,100.0,,[],[''],,Superboy Vol 4 #1,DC Comics,Bad,Female,New God,6'2 • 188 cm,91 lb • 41 kg,Blue,Red,,,,"Scandal Savage (wife), Liana Kerzner (wife)",
1198,Koko (The LEGO Ninjago Movie),90.0,20.0,40.0,20.0,55.0,100.0,Koko,[],['Misako'],Ninjago city,The LEGO Ninjago Movie,Lego,Good,Female,Human,5'4 • 163 cm,99 lb • 45 kg,Black,Orange,Lloyd's mother,Home,,"Garmadon (ex-husband)
Lloyd Garmadon (son)
Wu (ex-brother-in-law)",
1199,Korg (MCU),70.0,75.0,60.0,90.0,80.0,85.0,,['Korg'],['Pile of rocks'],Ria,Thor Ragnarok,Marvel Comics,Good,Male,,6'6 • 198 cm,220 lb • 99 kg,Blue,Blue,,,,,
1200,Kraglin (MCU),90.0,10.0,30.0,25.0,30.0,70.0,,['Kraglin'],[''],,Guardians of the Galaxy,Marvel Comics,Bad,Male,,-,-,Blue,Brown,,,,Yondu Udonta Captain,
1201,Kratos,80.0,95.0,65.0,95.0,100.0,100.0,,[],"['The Ghost of Sparta, The God of War, Champion of Ares, Cratos']",,God of War (2005 video game),Wildstorm,Good,Male,Demi-God,6'6 • 198 cm,240 lb • 108 kg,,,,,,,
1202,Kronos,90.0,65.0,60.0,60.0,100.0,80.0,,['Luke Castellen (FOX)'],[''],,,,,Male,Titanian,-,-,Gold,Black,,,,,
1203,Kruncha,85.0,10.0,20.0,50.0,100.0,50.0,Kruncha,[],['Skeleton of earth general kruncha'],Underworld,Way of the Ninja,,Good,Male,,5'10 • 178 cm,13 lb • 6 kg,Black,No Hair,Warrior,,,,
1204,Krux,90.0,50.0,90.0,90.0,100.0,100.0,Krux,[],['Dr. Saunders'],Ninjago,"Dark Island Trilogy, Part 3 (vision)/70626 Dawn of Iron Doom",,Bad,,Human,-,-,Gold,Grey,Ex-elemental master of time,Ninjago Museum of History,,"Acronix(Brother)
Unnamed(Mother)",
1205,Kurse (MCU),65.0,100.0,55.0,95.0,100.0,95.0,,['Kurse'],[''],,,Marvel Comics,,,,-,-,,,,,,,
1206,Kurse,85.0,100.0,60.0,95.0,100.0,90.0,,['Kurse (MCU)'],"['Algrim the Strong, Algrim the Elf, Valgoth']",Svartalfheim,Thor #347,Marvel Comics,Bad,Male,,7'0 • 213 cm,840 lb • 378 kg,,No Hair,"Protector; formerly seeker of vengeance, servant of Malekith",Svartalfheim,,,
1207,Lady Blackhawk,90.0,10.0,25.0,35.0,30.0,90.0,Zinda Blake,[],"['Blackhawk, Queen Killer Shark']",United States,Blackhawk #133,DC Comics,Good,Female,Human,5'7 • 170 cm,117 lb • 53 kg,Blue,Blond,"Adventurer, Pilot","Dalten Towers, Metropolis, Blackhawk Island, Eyrie",,,
1208,Lady Deadpool,50.0,15.0,60.0,100.0,100.0,100.0,Wanda Wilson,[],"['Boobs, Hot Pants, Lady-D, Deadpool']",,"Deadpool: Merc with a Mouth #7 (March, 2010)",Marvel Comics,Neutral,Female,Mutant,6'0 • 183 cm,158 lb • 71 kg,Blue,Blond,"Mercenary, adventurer",Mobile,,,
1209,Lady Shiva,90.0,10.0,35.0,30.0,40.0,100.0,,[],"['Sandra Woosan,Jade Canary,The Paper Monkey,Tengu,Sandra Woo-San,Shiva Wu-san,Sandy']",China,"Richard Dragon, Kung Fu Fighter #5 - The Arena of No Exit",DC Comics,Neutral,Female,Human,5'8 • 173 cm,141 lb • 63 kg,Brown,Black,Assassin,New York City,,"Cassandra Cain (daughter),",
1210,Lagoon Boy,75.0,50.0,40.0,80.0,100.0,50.0,,[],"[""La'gaan, Lagoon Man, Squid Boy, Master of the Lagoon""]",Atlantis,Aquaman Vol 5 #50,DC Comics,Good,Male,Atlantean,8'2 • 249 cm,"4,000 lb • 1.8 tons",Red,No Hair,"Adventurer, Vigilante",Atlantis,,,
1211,Laira,70.0,95.0,85.0,80.0,100.0,95.0,,[],"['Red Lantern 112, Green Lantern 112, Black Lantern']",Jayd,Green Lantern Corps Quarterly #6,DC Comics,Neutral,Female,Alien,-,-,White,Red,"Green Lantern, Red Lantern",Space Sector 0112,,Kentor Omoto (father),
1212,Lance Hunter (MCU),85.0,15.0,40.0,35.0,35.0,85.0,"Amadeus Ravenclaw ""Lance"" Hunter",[],"['Richie Hunter, Lance Hunter']",,Agents of S.H.I.E.L.D. Season 2: Episode 1,Marvel Comics,Good,Male,Human,"5'10"" • 178 cm",149 lb • 67 kg,Green,Brown,Intelligence Agent,The Playground,,Bobbi Morse (ex-wife),
1213,Lantern Bleez,70.0,90.0,60.0,50.0,100.0,70.0,,[],"['The Angel of The Red Lanterns,The Red Lantern,The Raging Angel,Red Angel,Red-Wing']",Havania,Final Crisis: Rage of the Red Lanterns #1 - Prologue: Blood Feud,DC Comics,Neutral,Female,Alien,5'8 • 173 cm,137 lb • 62 kg,Yellow,Black,Red Lantern,Ysmault,,,
1214,Lar Gand,90.0,100.0,95.0,95.0,100.0,80.0,,['Mon-El (CW)'],"[""Lar Gand, M'Onel Valor, Marvel Lad, Legionnaire Lemon, Jonathan Kent, Bob Cobb, Superman, The Man of Valor, The Wanderer, Superman's brother""]",Daxam,"Superboy #89 (June, 1961)",DC Comics,Good,Male,Daxamite,6'2 • 188 cm,200 lb • 90 kg,Blue,Black,Legionnaire,Legion Headquarters,,,
1215,Lashina,95.0,100.0,95.0,100.0,100.0,100.0,,[],['Duchess'],Apokolips,Mister Miracle #6,DC Comics,Bad,Female,New God,6'2 • 188 cm,225 lb • 101 kg,Purple,Black,Soldier,Apokolips,,,
1216,Laufey (MCU),80.0,30.0,60.0,80.0,70.0,75.0,,['Laufey'],[''],,Thor,Marvel Comics,Bad,Male,Frost Giant,9'10 • 300 cm,198 lb • 89 kg,Red,,,,,,
1217,Laufey,90.0,10.0,35.0,60.0,70.0,50.0,,['Laufey (MCU)'],"['King Laufey', 'The King of the Giants[']",Vanaheim,Journey into Mystery issue 112,Marvel Comics,Bad,Male,Frost Giant,-,-,,,,,,"Farbauti (wife, deceased);
Loki (son, deceased);
Byleistr, Helblindi (sons, deceased);
Fenris Wolf (grandaughter);
Vali Halfling (grandson)
Drang, Hoarfen (great-grandsons)",
1218,Lauren Strucker (Fox),75.0,10.0,20.0,15.0,85.0,55.0,Lauren Strucker,['Lauren Strucker'],['Fenris (with Andy)'],"Atlanta, Georgia",The Gifted Season 1: Episode 1,Marvel Comics,Good,Female,Mutant,"5'5"" • 165 cm",121 lb • 54 kg,Blue,Blond,Mutant Underground Operative,"Westlake Apartments, Washington, D.C.",,"Andreas von Strucker (great grandfather, deceased), Andrea von Strucker (great grandaunt, deceased), Otto Strucker (grandfather, deceased), Ellen Strucker (paternal grandmother), Reed Strucker (father, deceased), Caitlin Strucker (mother), Andy Strucker (brother)",
1219,Legolas,90.0,20.0,30.0,60.0,100.0,100.0,,[],"['Greenleaf, Lord of the Elves of Ithilien, Prince of the Woodland Realm']",,,J. R. R. Tolkien,Good,Male,Elf,6'8 • 203 cm,209 lb • 94 kg,Blue,Blond,Elf Princeling,Greenwood the Great,,"Thranduil (father), Aelir (mother), Laindawar (brother), Laerophen (brother), Gimli (betrothed)",
1220,Leo Fitz (MCU),100.0,10.0,25.0,25.0,20.0,80.0,Leopold James Fitz,[],['Agent Fitz'],Scotland,Agents of S.H.I.E.L.D. Season 1: Episode 1,Marvel Comics,Good,Male,Human,"5'8"" • 173 cm",143 lb • 64 kg,Blue,Brown,Engineer,,,"Alistair Fitz (father), Jemma Simmons (wife)",
1221,Leo Valdez,100.0,40.0,75.0,95.0,85.0,100.0,,[],[''],,,,Good,Male,Demi-God,5'6 • 168 cm,-,Brown,Brown,,,,,
1222,Leonardo (TMNT 2012),90.0,10.0,35.0,50.0,55.0,100.0,Leonardo,[],"['Fearless leader, chosen one']","New York City (1997),",Teenage Mutant Ninja Turtles: vol 1. (1984),,Good,Male,Mutant,5'3 • 160 cm,155 lb • 70 kg,Blue,No Hair,"Ninja, TMNT •leader",New York City,,"Raphael (Younger Brother), Donatello (Younger Brother), Michelangelo (Younger Brother), Splinter (Sensei/Father)",
1223,Lex Luthor (DCEU),100.0,10.0,15.0,20.0,20.0,50.0,"Alexander Joseph Luthor, Jr.",[],['Lex Luthor'],Metropolis,Batman v Superman: Dawn of Justice,DC Comics,Bad,Male,Human,"5'7"" • 170 cm",158 lb • 71 kg,Green,Red,"Businessman, Scientist",Metropolis,,"Alexander Luthor, Sr. (father, deceased)",
1224,Lex Luthor (Injustice),100.0,55.0,25.0,65.0,90.0,70.0,Alexander Lex Luthor,"['Lex Luthor (CW)', 'Lex Luthor (God Of Apokolips)', 'Lex Luthor (New 52)', 'Mazahs']",[''],Metropolis,Injustice: Gods Among Us,DC Comics,Bad,Male,Human,6'10 • 208 cm,595 lb • 268 kg,Green,No Hair,,,,,
1225,Life Entity,100.0,100.0,100.0,100.0,100.0,100.0,,[],"['Life Entity, The Entity, White Entity, Sinestro, True Guardian of the Universe, Trespasser']",,Blackest Night #7 - Part 7,DC Comics,Good,,God / Eternal,-,-,,No Hair,,230.4 meters below the Earth's surface (as of 10 billion years ago),,,
1226,Lightray,95.0,85.0,100.0,90.0,100.0,80.0,,[],[''],New Genesis,The New Gods #1 - Orion Fights for Earth!,DC Comics,Good,Male,God / Eternal,6'0 • 183 cm,181 lb • 81 kg,Blue,Strawberry Blond,Soldier,"Supertown, New Genesis",,"Arkal (brother, deceased)",
1227,Lightspeed,90.0,10.0,100.0,55.0,80.0,100.0,,[],[''],"Richmond, Virginia",Power Pack #1,Marvel Comics,Good,Female,Human,5'4 • 163 cm,110 lb • 50 kg,Blue,Blond,Adventurer; former student,"Mobile; formerly Empire State University, New York City, New York; Avengers Compound, Los Angeles, California Bainbridge Island, Washington; New York City, New York; Richmond, Virginia",,"Roy Craig (maternal grandfather);
James Power (father);
Margaret Power (mother);
Alex Power (brother);
Jack Power (brother);
Katie Power (sister)",
1228,Link,100.0,80.0,75.0,75.0,100.0,100.0,Link,[],['THIEF; Child Link; Mr. Nice Guy; Grasshopper; Mr. Fairy; Gramps; Mr. Important Hero; Mr. Link; Brother; Brudda; Mr. Heavy; Master Shortpants; Linky'],,The Legend of Zelda (1987),Nintendo,Good,Male,Human,5'7 • 170 cm,158 lb • 71 kg,Blue,Blond,Warrior,Hyrule,,Unnamed Uncle; Unnamed Father (deceased); Unnamed Mother (deceased); Unnamed Grandmother; Aryll (little sister); Smith (grandfather); Hero's Spirit (ancestor & incarnation); Ravio (Lorulean Counterpart),
1229,Little Epic,0.0,0.0,0.0,0.0,0.0,0.0,Eilliott Kipp,[],[''],"Toronto, Canada",Team Epic Episode 101,Team Epic TV,Good,Male,,5'7 • 170 cm,185 lb • 83 kg,Brown,Brown,Sidekick,"Toronto, Canada",, Captain Epic (adopted foster parent).,
1230,Little Krishna,100.0,100.0,100.0,100.0,100.0,100.0,Krishna,[],['8th Avatar of Vishnu'],Mathura,,,Good,Male,God / Eternal,-,-,Brown,Black,,Vrindhavan,,"Devaki (mother), Vasudeva (father), Yashoda (adpoted mother), Nandha (adopted father), Kansa (uncle), Balaram (adopted brother / step-brother)",
1231,Littlefinger,85.0,5.0,20.0,15.0,5.0,15.0,,[],"['Lord Protector of the Vale, Master of Coin, Lord of Harrenhall']",The Fingers,A Song of Ice & Fire; Book 1: A Game Of Thrones.,George R. R. Martin,Neutral,Male,Human,5'10 • 178 cm,160 lb • 72 kg,Grey,Black,"Lord Protector of the Vale, Master of Coin, Lord of Harrenhall","The Vale, Kings Landing, Harrenhall, Baelish Castle",,"Lysa Arryn, Robin Arryn",
1232,Livewire (CW),75.0,10.0,70.0,60.0,80.0,65.0,Leslie Willis,[],['Livewire'],Earth-38,Supergirl Season 1: Episode 5,,Neutral,Female,Metahuman,"5'8"" • 173 cm",115 lb • 52 kg,Blue,Grey,formery Shock Jock at Catco Worldwide Media,National City,,,
1233,Livewire,85.0,60.0,90.0,95.0,70.0,85.0,Leslie Willis,['Livewire (Smallville)'],[''],Metropolis,"Action Comics #835 (March, 2006)",DC Comics,Good,Female,Human,5'2 • 157 cm,152 lb • 68 kg,Blue,Blue,Reporter,,,,
1234,Living Totem,95.0,100.0,75.0,100.0,70.0,65.0,,[],[''],,,Marvel Comics,,,,-,-,,,,,,,
1235,Lloyd (The LEGO Ninjago Movie),85.0,10.0,70.0,40.0,70.0,100.0,Lloyd Garmadon,['Golden Ninja'],['Green ninja'],Ninjago city,The LEGO Ninjago Movie,Lego,Good,Male,Human,0'1 • 3 cm,7 lb • 3 kg,Green,Blond,Ninja,Destiny's bounty,,"Garmadon (father)
Koko (mother)
Wu (uncle)",
1236,Lloyd,100.0,30.0,60.0,75.0,100.0,100.0,Lloyd Montgomery Garmadon.,[],['The green ninja'],Ninjago,Rise of the Snakes,,Good,Male,Human,5'4 • 163 cm,154 lb • 69 kg,Black,White,Elemental master,Destiny's bounty,,"First Spinjitzu Master (grandfather; deceased)
Unnamed (grandmother)
Garmadon (father)
Misako (mother)
Wu (uncle)",
1237,Lockjaw,70.0,30.0,90.0,50.0,60.0,30.0,Lockjaw,[],['Sparky Slobberchops'],"Island of Attilan, Atlantic Ocean",Fantastic Four #45,Marvel Comics,Good,Male,Inhuman,4'11 • 150 cm,"1,239 lb • 558 kg",Brown,Brown,Companion to the Royal Family of the Inhumans,"New Attilan; formerly Attilan, Blue Area, the Moon",,"Unnamed mother (deceased)
Bixby (brother)
The Beast (sister)
Doc Jaw (sister)
Unnamed 4th sibling
Puppy (pup)",
1238,Lodestone,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,"['Arachno-Man', 'Barracuda', 'Black Panther (1,000,000 B.C.)', 'Bloodscream', 'Cadaverous', 'Carnage (Ultimate)', 'Cog', 'Fever Pitch', 'Greenskyn Smashtroll', 'Hit-Monkey', 'Hive (MCU)', 'Hydro-Man (MCU)', 'Kindred', 'Lady Phoenix', 'Ogun', 'Overdrive', 'Pagan', 'Proctor', 'Splice', 'Stick (MCU)', 'The One Below All']",[''],,Darkhawk #8,Marvel Comics,Bad,,,-,-,,,Super-Villain,,,,
1239,Lord Garmadon,75.0,65.0,60.0,70.0,100.0,65.0,Garmadon,"['Samurai Mech(Stone Army)', 'Sensei Garmadon']",['The destructor'],Ninjago,Way of the Ninja (pictured),,Neutral,Male,,6'6 • 198 cm,265 lb • 119 kg,Red,Black,,,,"First Spinjitzu Master (father; deceased)
Wu (brother)
Misako (wife)
Lloyd Garmadon (son)",
1240,Lord Of Cinder,85.0,60.0,50.0,75.0,100.0,80.0,,[],[''],,,Namco,,,,-,-,,,,,,,
1241,Lord Voldemort,100.0,5.0,15.0,15.0,100.0,85.0,Tom Marvolo Riddle,['Lord Voldemort (Elder Wand)'],"['He-Who-Must-Not Be-Named, The Dark Lord, You-know-who']",,Harry Potter and the Philosopher Stone,J. K. Rowling,Bad,Male,Human,-,-,Red,No Hair,,Malfoy Manor,,,
1242,Lorelei,90.0,30.0,40.0,55.0,100.0,100.0,,[],['Melodi'],Asgard,,Marvel Comics,Bad,Female,,5'4 • 163 cm,320 lb • 144 kg,Blue,Red,"Sorceress, seductress",Asgard,,"Enchantress (Amora, sister)",
1243,Lucifer (FOX),100.0,80.0,75.0,100.0,100.0,90.0,Lucifer Morningstar,"['Lucifer Morningstar', 'Lucifer Morningstar (Mortal)']","['The Devil, Belial, Satan, Beelzebub, Old Scratch, The Lord of Hell, The Prince of Darkness, Luci, The Master of Punishment, The Lightbringer, Luke, Todd Cornwell']",Heaven,,DC Comics,Neutral,Male,Demon,6'3 • 191 cm,176 lb • 79 kg,Brown,Black,"Nightclub owner, LAPD Civilian consultant, Ruler of Hell (formerly)",LUX,,"God (Father), Goddess (mother), Amenadiel (eldest brother), Uriel (older brother, dead), Azrael (sister), Remiel (sister)",
1244,Lucius Malfoy,90.0,10.0,20.0,20.0,100.0,85.0,,[],[''],,Harry Potter and the Chamber of Secrets,J. K. Rowling,Bad,Male,,-,-,,White,Death Eater,Malfoy Manor,,Draco Malfoy (son),
1245,M,0.0,0.0,0.0,0.0,0.0,0.0,Monet Yvette Clarisse Maria Therese St. Croix,[],"['Penance, M-Plate']",Place of birth unknown,"Uncanny X-Men #? (the twins posing as M), Generation X #40(the real Monet)",Marvel Comics,Good,,,-,-,Brown,Black,Occupation unknown,Base of operations unknown,,Claudette and Nicole St. Croix(sisters) Emplate (brother),
1246,Mad Harriet,95.0,100.0,95.0,100.0,100.0,100.0,,[],[''],Apokolips,"Mister Miracle #6 (February, 1972) Cou",DC Comics,Bad,Female,New God,0'1 • 3 cm,322 lb • 145 kg,Black,Green,,Apokolips,,,
